,TPM,Gene Heterogeneity,log10TPM,htg.qtl
RPS27AP5,59.60776182663047,0.5823540878467941,1.7753028150924755,0.25
TMEM183A,80.05609221072027,0.6629570356546836,1.9033943870088925,0.5
SNRPE,326.974243726396,0.6973600106357455,2.5145135439506507,0.75
MDM4,23.025072104514766,0.6912001850429531,1.3622009988925066,0.75
NUCKS1,127.22799851896711,0.6745294221428363,2.1045826951507207,0.5
CNIH4,26.417861737002465,0.7236521523756887,1.4218976628848072,1.0
SRP9,134.8827232853153,0.6967537000338736,2.12995632578486,0.75
H3-3A,2266.632495401269,0.5140374791846438,3.3553811107054563,0.25
PARP1,134.4442601628234,0.6990906532629098,2.128542265593725,0.75
ARF1,208.6173753363217,0.679281754264855,2.319350477141474,0.5
MRPL55,217.04328294650435,0.7039865808677579,2.3365463498411194,1.0
TOMM20,73.37809761893375,0.7309852773477223,1.8655664481625116,1.0
RBM34,37.830023577904015,0.6498464516849438,1.5778366119707885,0.25
GNG4,40.87610751864872,0.6892743854102985,1.6114695328297273,0.75
HNRNPU,52.76161695407681,0.6945705296123388,1.7223180966444653,0.75
ACP1,90.41711093507523,0.6783001471326765,1.9562506260669987,0.5
RPS7,1565.97542907343,0.5603885690394114,3.1947849434808386,0.25
SOX11,35.024715977702826,0.6897091540894683,1.5443746221928862,0.75
YWHAQ,115.38316369857719,0.7217725718540859,2.0621424427344284,1.0
PDIA6,76.58824978786744,0.6796676936862222,1.8841621450408688,0.5
DDX1,39.443352655136046,0.6699525148811584,1.595973822540533,0.5
SF3B6,232.8959230979267,0.6318881832018702,2.3671618861664077,0.25
PTRHD1,130.14877142462504,0.72464808810429,2.1144400728215564,1.0
DNMT3A,29.681030239415655,0.6760100181861315,1.4724789713889297,0.5
HADHA,70.58740692578962,0.6944391447056951,1.8487272280990334,0.75
OST4,461.99950874382165,0.676541706254958,2.6646415137596735,0.5
ATRAID,109.94239733688377,0.6981377530934711,2.0411652026936418,0.75
CAD,33.96971969477916,0.7092749110070081,1.5310919632517497,1.0
PPM1G,201.09407236246687,0.6889043901873565,2.3033992691138336,0.75
NRBP1,50.34119584750496,0.6716743315261261,1.701923527934712,0.5
PPP1CB,63.683906084852005,0.7183703532374351,1.804029693220057,1.0
WDR43,78.13049314693154,0.6416899778261985,1.892820565514174,0.25
DPY30,291.2058447527178,0.7125134532929642,2.4642000873936776,1.0
CEBPZ,44.29919480341314,0.7153964922515362,1.6463958324169168,1.0
SRSF7,92.3225200360707,0.7075807485772334,1.9653076504782796,1.0
EML4,17.89917776636767,0.6523842330370505,1.2528330812742463,0.25
CALM2,106.46416368347192,0.7017757863882882,2.027203446895878,1.0
RPS27A,1819.8649842956947,0.5137105261601256,3.260039168891438,0.25
CCT4,131.23563383435254,0.7046682363805528,2.1180517731221906,1.0
MDH1,117.55295313089441,0.7253971329795847,2.070233543816909,1.0
UGP2,187.46340331664226,0.7062338242757354,2.2729164971894535,1.0
